time_sec,heart_rate,spo2,systolic_bp,diastolic_bp,motion,event,target,heart_rate_mean,heart_rate_std,heart_rate_z,spo2_mean,spo2_std,spo2_z,systolic_bp_mean,systolic_bp_std,systolic_bp_z,diastolic_bp_mean,diastolic_bp_std,diastolic_bp_z,hr_anomaly,spo2_anomaly,bp_anomaly,anomaly,risk_score,confidence,alert
2,64.34833434897514,99.17234089273856,121.54294930359848,79.56940082910278,0.2868492936540743,normal,0,,,,,,,,,,,,,False,False,False,False,0,0.9043835687819752,False
3,64.08583144399395,99.15139754955352,117.68584790575753,79.70212913855673,0.1631678065142981,normal,0,,,,,,,,,,,,,False,False,False,False,0,0.9456107311619006,False
4,64.57871363434884,99.0770961459228,116.47494258921408,80.83189577975982,0.1289442059004079,normal,0,,,,,,,,,,,,,False,False,False,False,0,0.9570185980331973,False
5,64.86563789184785,99.06567176825509,114.64741568390797,81.93791423276778,0.1817110964403825,normal,0,,,,,,,,,,,,,False,False,False,False,0,0.9394296345198725,False
6,65.15276266351555,99.0814830988819,123.69528812825764,80.40217131830752,0.1005429744604993,normal,0,,,,,,,,,,,,,False,False,False,False,0,0.9664856751798335,False
7,65.64529848825495,99.02981938348988,118.88498344467313,77.61593217924577,0.1888262511560468,normal,0,,,,,,,,,,,,,False,False,False,False,0,0.9370579162813177,False
8,65.77917692773016,99.05155033791092,121.70982123707208,79.5571450144731,-0.132780149196083,normal,0,,,,,,,,,,,,,False,False,False,False,0,1.0,False
9,65.39684853209076,99.1023526875531,118.54490377535504,79.18570032441316,0.2755373774558091,normal,0,,,,,,,,,,,,,False,False,False,False,0,0.9081542075147303,False
10,65.9814777142499,99.03150872047182,116.51471848987514,77.8940277872511,0.2576862119074659,normal,0,,,,,,,,,,,,,False,False,False,False,0,0.9141045960308447,False
11,65.9078352093334,99.01575114443249,121.95693782981742,80.9958655312042,0.0760963935035878,normal,0,,,,,,,,,,,,,False,False,False,False,0,0.9746345354988041,False
12,65.90225371685551,98.8897943290416,120.98388772117448,81.14970515879067,-0.0575989095770097,normal,0,,,,,,,,,,,,,False,False,False,False,0,1.0,False
13,66.2840421105353,98.89142552758167,119.28930253803772,81.45241684341192,-0.244705843729948,normal,0,,,,,,,,,,,,,False,False,False,False,0,1.0,False
